Source,TID,TOI,ToiName,ToiName Gap,GradientBoosting,RandomForest,AdaBoost,XGBoost,LightGBM,Actual,score,gifs,nasa_url,educational_summary
TESS,351601843,1075.01,TOI-1075_b,TOI-1075 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.173,https://detwet.com/gifs/tess/351601843.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1075_b,"An ultra-short-period super-Earth (~1.72× Earth; ~4.1 Earth masses) completing a blistering ~0.605-day orbit at ~0.0118 AU around a cool M-dwarf (~3920 K). With Teq ~1336 K and likely tidal locking, it’s ideal for lessons on the rocky/volatile “radius-valley,” heat redistribution on molten daysides, and how repeated transits enable precise ephemerides for USP terrestrial worlds."
TESS,394561119,1107.01,TOI-1107_b,TOI-1107 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.015,https://detwet.com/gifs/tess/394561119.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1107_b,"A massive hot Jupiter (~3.35 MJ; ~1.30 RJ) circling an F-type star (~6310 K) every ~4.08 days (Teq ~1728 K). Its high mass, modest inflation, and near-circular orbit make it a textbook case for migration scenarios, secondary-eclipse/phase-curve observations, and comparing irradiation-driven inflation across hot-Jupiter populations."
TESS,52368076,125.02,TOI-125_b,TOI-125 b,CANDIDATE,CONFIRMED,CANDIDATE,CONFIRMED,CANDIDATE,CONFIRMED,0.212,https://detwet.com/gifs/tess/52368076.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-125_b,"A warm mini-Neptune (~2.72× Earth; ~9.5 M⊕) with a short ~4.65-day period and notably non-zero eccentricity (e~0.19). Around a K0V host, it’s great for discussing tidal circularization timescales, mass–radius–density inferences, and why eccentric, close-in sub-Neptunes are valuable probes of dynamical histories."
TESS,355867695,1260.02,TOI-1260_b,TOI-1260 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.103,https://detwet.com/gifs/tess/355867695.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1260_b,"A compact sub-Neptune (~2.34× Earth; ~8.6 M⊕) on a ~3.13-day, near-circular orbit (e≈0) around a K6V star (~4230 K; Teq ~860 K). Sitting near the radius valley with a measured mass, it’s perfect for teaching envelope fractions, photoevaporation/core-powered mass loss, and RV+transit joint characterization."
TESS,417948359,1272.01,TOI-1272_b,TOI-1272 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.002,https://detwet.com/gifs/tess/417948359.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1272_b,"A hot sub-Neptune (~4.1× Earth; ~25 M⊕) with a ~3.32-day year and high eccentricity (e~0.34). The unusually elliptical, close-in orbit highlights tidal dissipation, circularization pathways, and how eccentricity shapes climate/irradiation cycles on short-period mid-size worlds."
TESS,89020549,132.01,TOI-132_b,TOI-132 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.004,https://detwet.com/gifs/tess/89020549.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-132_b,"A dense warm mini-Neptune (~3.42× Earth; ~22.4 M⊕) orbiting in ~2.11 days (Teq ~1400 K) with mild eccentricity. Excellent for mass–radius composition modeling (rock/ice core + volatile envelope), and for contrasting scale heights and atmospheric detectability among hot sub-Neptunes."
TESS,62483237,139.01,TOI-139_b,TOI-139 b,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,CANDIDATE,CONFIRMED,0.112,https://detwet.com/gifs/tess/62483237.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-139_b,A temperate sub-Neptune (~2.45× Earth; ~6.6 M⊕) on an ~11.07-day orbit (Teq ~560 K) around a cool K/M-type star (~4570 K). Its size and low irradiation make it a promising case for transmission spectroscopy yield estimates and for illustrating the lower-flux side of the radius-valley landscape.
TESS,428679607,1669.01,TOI-1669_b,TOI-1669 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.002,https://detwet.com/gifs/tess/428679607.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1669_b,"A long-period warm Jupiter (~0.57 MJ; ~1.26 RJ) found by radial velocities with P~502 days and modest eccentricity (e~0.14). This solar-type system showcases RV phase-coverage challenges, mass–eccentricity correlations for cooler giants, and comparisons to our own Jupiter’s orbital regime."
TESS,28900646,1685.01,TOI-1685_b,TOI-1685 b,CONFIRMED,CONFIRMED,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.265,https://detwet.com/gifs/tess/28900646.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1685_b,"A USP super-Earth (~1.70× Earth; ~3.8 M⊕) whipping around an M3 star in ~0.669 days (Teq ~1070 K). Likely tidally locked and highly irradiated, it’s a clean example for discussing atmospheric escape limits, dayside–nightside contrasts, and the detectability of frequent, shallow transits around small stars."
TESS,183120439,169.01,TOI-169_b,TOI-169 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.03,https://detwet.com/gifs/tess/183120439.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-169_b,"A classic hot Jupiter (~0.79 MJ; ~1.09 RJ) orbiting a G1V star every ~2.26 days (Teq ~1715 K). Its size and flux place it among moderately inflated giants, ideal for teaching hot-Jupiter occurrence, migration channels, and secondary-eclipse feasibility around Sun-like hosts."
